hidden_layers,activation_fn,epochs,learning_rate,batch_size,final_accuracy
[8],Identity,25,0.001,64,0.8
[8],Identity,25,0.001,128,0.775609756097561
[8],Identity,50,0.1,16,0.7707317073170732
[8],Identity,50,0.1,32,0.775609756097561
[8],Identity,50,0.1,64,0.7853658536585366
[8],Identity,50,0.1,128,0.7902439024390244
[8],Identity,50,0.01,16,0.7902439024390244
[8],Identity,50,0.01,32,0.7951219512195122
[8],Identity,50,0.01,64,0.8048780487804879
[8],Identity,50,0.01,128,0.775609756097561
[8],Identity,50,0.001,16,0.7902439024390244
[8],Identity,50,0.001,32,0.7951219512195122
[8],Identity,50,0.001,64,0.8048780487804879
[8],Identity,50,0.001,128,0.8
"[16, 8]",ReLU,10,0.1,16,0.8439024390243902
"[16, 8]",ReLU,10,0.1,32,0.8975609756097561
"[16, 8]",ReLU,10,0.1,64,0.926829268292683
"[16, 8]",ReLU,10,0.1,128,0.9365853658536586
"[16, 8]",ReLU,10,0.01,16,0.8634146341463415
"[16, 8]",ReLU,10,0.01,32,0.8878048780487805
"[16, 8]",ReLU,10,0.01,64,0.8585365853658536
"[16, 8]",ReLU,10,0.01,128,0.8536585365853658
"[16, 8]",ReLU,10,0.001,16,0.8536585365853658
"[16, 8]",ReLU,10,0.001,32,0.7853658536585366
"[16, 8]",ReLU,10,0.001,64,0.7707317073170732
"[16, 8]",ReLU,10,0.001,128,0.7073170731707317
"[16, 8]",ReLU,25,0.1,16,0.775609756097561
"[16, 8]",ReLU,25,0.1,32,0.8390243902439024
"[16, 8]",ReLU,25,0.1,64,0.9170731707317074
"[16, 8]",ReLU,25,0.1,128,0.8878048780487805
"[16, 8]",ReLU,25,0.01,16,0.9707317073170731
"[16, 8]",ReLU,25,0.01,32,0.975609756097561
"[16, 8]",ReLU,25,0.01,64,0.9609756097560975
"[16, 8]",ReLU,25,0.01,128,0.9365853658536586
"[16, 8]",ReLU,25,0.001,16,0.8585365853658536
"[16, 8]",ReLU,25,0.001,32,0.8390243902439024
"[16, 8]",ReLU,25,0.001,64,0.8048780487804879
"[16, 8]",ReLU,25,0.001,128,0.7804878048780488
"[16, 8]",ReLU,50,0.1,16,0.8926829268292683
"[16, 8]",ReLU,50,0.1,32,0.8439024390243902
"[16, 8]",ReLU,50,0.1,64,0.9170731707317074
"[16, 8]",ReLU,50,0.1,128,0.9658536585365853
"[16, 8]",ReLU,50,0.01,16,0.9853658536585366
"[16, 8]",ReLU,50,0.01,32,0.9853658536585366
"[16, 8]",ReLU,50,0.01,64,0.9658536585365853
"[16, 8]",ReLU,50,0.01,128,0.9804878048780488
"[16, 8]",ReLU,50,0.001,16,0.9317073170731708
"[16, 8]",ReLU,50,0.001,32,0.8829268292682927
"[16, 8]",ReLU,50,0.001,64,0.8731707317073171
"[16, 8]",ReLU,50,0.001,128,0.8195121951219512
"[16, 8]",Sigmoid,10,0.1,16,0.9219512195121952
"[16, 8]",Sigmoid,10,0.1,32,0.8975609756097561
"[16, 8]",Sigmoid,10,0.1,64,0.8585365853658536
"[16, 8]",Sigmoid,10,0.1,128,0.8585365853658536
"[16, 8]",Sigmoid,10,0.01,16,0.8195121951219512
"[16, 8]",Sigmoid,10,0.01,32,0.7951219512195122
"[16, 8]",Sigmoid,10,0.01,64,0.7902439024390244
"[16, 8]",Sigmoid,10,0.01,128,0.7951219512195122
"[16, 8]",Sigmoid,10,0.001,16,0.8048780487804879
"[16, 8]",Sigmoid,10,0.001,32,0.7951219512195122
"[16, 8]",Sigmoid,10,0.001,64,0.7609756097560976
"[16, 8]",Sigmoid,10,0.001,128,0.7365853658536585
"[16, 8]",Sigmoid,25,0.1,16,0.9365853658536586
"[16, 8]",Sigmoid,25,0.1,32,0.9365853658536586
"[16, 8]",Sigmoid,25,0.1,64,0.9512195121951219
"[16, 8]",Sigmoid,25,0.1,128,0.9170731707317074
"[16, 8]",Sigmoid,25,0.01,16,0.8975609756097561
"[16, 8]",Sigmoid,25,0.01,32,0.848780487804878
"[16, 8]",Sigmoid,25,0.01,64,0.8146341463414634
"[16, 8]",Sigmoid,25,0.01,128,0.8048780487804879
"[16, 8]",Sigmoid,25,0.001,16,0.7902439024390244
"[16, 8]",Sigmoid,25,0.001,32,0.8146341463414634
"[16, 8]",Sigmoid,25,0.001,64,0.8048780487804879
"[16, 8]",Sigmoid,25,0.001,128,0.775609756097561
"[16, 8]",Sigmoid,50,0.1,16,0.9121951219512195
"[16, 8]",Sigmoid,50,0.1,32,1.0
"[16, 8]",Sigmoid,50,0.1,64,0.9707317073170731
"[16, 8]",Sigmoid,50,0.1,128,0.9853658536585366
"[16, 8]",Sigmoid,50,0.01,16,0.9707317073170731
"[16, 8]",Sigmoid,50,0.01,32,0.9609756097560975
"[16, 8]",Sigmoid,50,0.01,64,0.926829268292683
"[16, 8]",Sigmoid,50,0.01,128,0.8682926829268293
"[16, 8]",Sigmoid,50,0.001,16,0.7853658536585366
"[16, 8]",Sigmoid,50,0.001,32,0.7902439024390244
"[16, 8]",Sigmoid,50,0.001,64,0.7902439024390244
"[16, 8]",Sigmoid,50,0.001,128,0.8048780487804879
"[16, 8]",Tanh,10,0.1,16,0.8536585365853658
"[16, 8]",Tanh,10,0.1,32,0.9073170731707317
"[16, 8]",Tanh,10,0.1,64,0.8878048780487805
"[16, 8]",Tanh,10,0.1,128,0.9170731707317074
"[16, 8]",Tanh,10,0.01,16,0.8731707317073171
"[16, 8]",Tanh,10,0.01,32,0.9073170731707317
"[16, 8]",Tanh,10,0.01,64,0.8536585365853658
"[16, 8]",Tanh,10,0.01,128,0.8146341463414634
"[16, 8]",Tanh,10,0.001,16,0.7804878048780488
"[16, 8]",Tanh,10,0.001,32,0.8
"[16, 8]",Tanh,10,0.001,64,0.8
"[16, 8]",Tanh,10,0.001,128,0.7658536585365854
"[16, 8]",Tanh,25,0.1,16,0.8097560975609757
"[16, 8]",Tanh,25,0.1,32,0.8926829268292683
"[16, 8]",Tanh,25,0.1,64,0.9804878048780488
"[16, 8]",Tanh,25,0.1,128,0.9658536585365853
"[16, 8]",Tanh,25,0.01,16,0.9804878048780488
"[16, 8]",Tanh,25,0.01,32,0.9902439024390244
"[16, 8]",Tanh,25,0.01,64,0.9463414634146341
"[16, 8]",Tanh,25,0.01,128,0.9073170731707317
"[16, 8]",Tanh,25,0.001,16,0.8341463414634146
"[16, 8]",Tanh,25,0.001,32,0.8
"[16, 8]",Tanh,25,0.001,64,0.7951219512195122
"[16, 8]",Tanh,25,0.001,128,0.8146341463414634
"[16, 8]",Tanh,50,0.1,16,0.8634146341463415
"[16, 8]",Tanh,50,0.1,32,0.8829268292682927
"[16, 8]",Tanh,50,0.1,64,0.9463414634146341
"[16, 8]",Tanh,50,0.1,128,0.9804878048780488
"[16, 8]",Tanh,50,0.01,16,0.9853658536585366
"[16, 8]",Tanh,50,0.01,32,0.9853658536585366
"[16, 8]",Tanh,50,0.01,64,0.9853658536585366
"[16, 8]",Tanh,50,0.01,128,0.9853658536585366
"[16, 8]",Tanh,50,0.001,16,0.8878048780487805
"[16, 8]",Tanh,50,0.001,32,0.8341463414634146
"[16, 8]",Tanh,50,0.001,64,0.7902439024390244
"[16, 8]",Tanh,50,0.001,128,0.8
"[16, 8]",Softmax,10,0.1,16,0.8975609756097561
"[16, 8]",Softmax,10,0.1,32,0.8975609756097561
"[16, 8]",Softmax,10,0.1,64,0.8975609756097561
"[16, 8]",Softmax,10,0.1,128,0.9121951219512195
"[16, 8]",Softmax,10,0.01,16,0.9073170731707317
"[16, 8]",Softmax,10,0.01,32,0.8829268292682927
"[16, 8]",Softmax,10,0.01,64,0.8536585365853658
"[16, 8]",Softmax,10,0.01,128,0.8097560975609757
"[16, 8]",Softmax,10,0.001,16,0.8
"[16, 8]",Softmax,10,0.001,32,0.7707317073170732
"[16, 8]",Softmax,10,0.001,64,0.6682926829268293
"[16, 8]",Softmax,10,0.001,128,0.5024390243902439
"[16, 8]",Softmax,25,0.1,16,0.824390243902439
"[16, 8]",Softmax,25,0.1,32,0.9317073170731708
"[16, 8]",Softmax,25,0.1,64,0.9024390243902439
"[16, 8]",Softmax,25,0.1,128,0.9365853658536586
"[16, 8]",Softmax,25,0.01,16,0.9365853658536586
"[16, 8]",Softmax,25,0.01,32,0.9560975609756097
"[16, 8]",Softmax,25,0.01,64,0.9219512195121952
"[16, 8]",Softmax,25,0.01,128,0.8878048780487805
"[16, 8]",Softmax,25,0.001,16,0.8585365853658536
"[16, 8]",Softmax,25,0.001,32,0.8146341463414634
"[16, 8]",Softmax,25,0.001,64,0.8048780487804879
"[16, 8]",Softmax,25,0.001,128,0.7365853658536585
"[16, 8]",Softmax,50,0.1,16,0.8390243902439024
"[16, 8]",Softmax,50,0.1,32,0.8682926829268293
"[16, 8]",Softmax,50,0.1,64,0.9414634146341463
"[16, 8]",Softmax,50,0.1,128,0.9512195121951219
"[16, 8]",Softmax,50,0.01,16,0.9560975609756097
"[16, 8]",Softmax,50,0.01,32,0.9609756097560975
"[16, 8]",Softmax,50,0.01,64,0.9658536585365853
"[16, 8]",Softmax,50,0.01,128,0.9560975609756097
"[16, 8]",Softmax,50,0.001,16,0.8780487804878049
"[16, 8]",Softmax,50,0.001,32,0.8292682926829268
"[16, 8]",Softmax,50,0.001,64,0.8341463414634146
"[16, 8]",Softmax,50,0.001,128,0.7853658536585366
"[16, 8]",Identity,10,0.1,16,0.7902439024390244
"[16, 8]",Identity,10,0.1,32,0.8
"[16, 8]",Identity,10,0.1,64,0.7902439024390244
"[16, 8]",Identity,10,0.1,128,0.8
"[16, 8]",Identity,10,0.01,16,0.7951219512195122
"[16, 8]",Identity,10,0.01,32,0.7951219512195122
"[16, 8]",Identity,10,0.01,64,0.7951219512195122
"[16, 8]",Identity,10,0.01,128,0.7804878048780488
"[16, 8]",Identity,10,0.001,16,0.8048780487804879
"[16, 8]",Identity,10,0.001,32,0.8
"[16, 8]",Identity,10,0.001,64,0.8097560975609757
"[16, 8]",Identity,10,0.001,128,0.7609756097560976
"[16, 8]",Identity,25,0.1,16,0.7902439024390244
"[16, 8]",Identity,25,0.1,32,0.751219512195122
"[16, 8]",Identity,25,0.1,64,0.7951219512195122
"[16, 8]",Identity,25,0.1,128,0.7951219512195122
"[16, 8]",Identity,25,0.01,16,0.7853658536585366
"[16, 8]",Identity,25,0.01,32,0.7902439024390244
"[16, 8]",Identity,25,0.01,64,0.8048780487804879
"[16, 8]",Identity,25,0.01,128,0.7902439024390244
"[16, 8]",Identity,25,0.001,16,0.8048780487804879
